starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:16 2023	1697253496	0	768	768	693
Fri Oct 13 20:18:12 2023	1697253492	0	769	769	644
Fri Oct 13 20:18:07 2023	1697253487	0	769	769	664
Fri Oct 13 20:18:05 2023	1697253485	0	769	769	271
Fri Oct 13 20:18:12 2023	1697253492	0	771	771	670
Fri Oct 13 20:18:07 2023	1697253487	2	772	773	680
Fri Oct 13 20:18:05 2023	1697253485	0	773	773	291
Fri Oct 13 20:18:10 2023	1697253490	1	773	773	596
Fri Oct 13 20:18:11 2023	1697253491	0	774	774	752
Fri Oct 13 20:18:05 2023	1697253485	0	774	774	413
Fri Oct 13 20:18:07 2023	1697253487	0	775	775	507
Fri Oct 13 20:18:14 2023	1697253494	0	775	775	384
Fri Oct 13 20:18:10 2023	1697253490	0	775	775	759
Fri Oct 13 20:18:12 2023	1697253492	7	770	777	647
Fri Oct 13 20:18:07 2023	1697253487	0	778	778	661
Fri Oct 13 20:18:07 2023	1697253487	0	778	778	658
Fri Oct 13 20:18:16 2023	1697253496	0	778	778	704
Fri Oct 13 20:18:08 2023	1697253488	0	778	778	524
Fri Oct 13 20:18:10 2023	1697253490	1	778	779	605
Fri Oct 13 20:18:07 2023	1697253487	0	779	779	675
Fri Oct 13 20:18:11 2023	1697253491	1	779	779	757
Fri Oct 13 20:18:08 2023	1697253488	0	780	780	689
Fri Oct 13 20:18:12 2023	1697253492	0	780	780	674
Fri Oct 13 20:18:12 2023	1697253492	0	780	780	682
Fri Oct 13 20:18:06 2023	1697253486	1	779	780	761
Fri Oct 13 20:18:07 2023	1697253487	0	780	780	754
Fri Oct 13 20:18:17 2023	1697253497	0	781	781	771
Fri Oct 13 20:18:08 2023	1697253488	0	782	782	601
Fri Oct 13 20:18:14 2023	1697253494	1	781	782	391
Fri Oct 13 20:18:15 2023	1697253495	0	782	782	739
Fri Oct 13 20:18:10 2023	1697253490	0	783	783	606
Fri Oct 13 20:18:13 2023	1697253493	0	783	783	523
Fri Oct 13 20:18:13 2023	1697253493	0	783	783	410
Fri Oct 13 20:18:11 2023	1697253491	1	783	784	715
Fri Oct 13 20:18:17 2023	1697253497	1	784	784	726
Fri Oct 13 20:18:15 2023	1697253495	0	785	785	768
Fri Oct 13 20:18:07 2023	1697253487	1	785	785	742
Fri Oct 13 20:18:08 2023	1697253488	0	785	785	527
Fri Oct 13 20:18:08 2023	1697253488	0	786	786	768
Fri Oct 13 20:18:11 2023	1697253491	1	786	786	409
Fri Oct 13 20:18:09 2023	1697253489	0	786	786	680
Fri Oct 13 20:18:09 2023	1697253489	0	786	786	697
Fri Oct 13 20:18:09 2023	1697253489	0	786	786	717
Fri Oct 13 20:18:12 2023	1697253492	1	786	787	715
Fri Oct 13 20:18:09 2023	1697253489	0	787	787	718
Fri Oct 13 20:18:16 2023	1697253496	0	787	787	633
Fri Oct 13 20:18:14 2023	1697253494	1	787	788	364
