starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:26 2023	1697253446	0	1258	1258	1032
Fri Oct 13 20:17:27 2023	1697253447	0	1263	1263	449
Fri Oct 13 20:17:30 2023	1697253450	1	1262	1263	696
Fri Oct 13 20:17:34 2023	1697253454	0	1264	1264	964
Fri Oct 13 20:17:33 2023	1697253453	0	1265	1265	1096
Fri Oct 13 20:17:26 2023	1697253446	1	1267	1268	978
Fri Oct 13 20:17:33 2023	1697253453	1	1268	1268	1122
Fri Oct 13 20:17:26 2023	1697253446	1	1269	1270	1043
Fri Oct 13 20:17:33 2023	1697253453	0	1272	1272	1147
Fri Oct 13 20:17:26 2023	1697253446	1	1273	1274	1142
Fri Oct 13 20:17:26 2023	1697253446	0	1274	1274	1040
Fri Oct 13 20:17:35 2023	1697253455	0	1275	1275	956
Fri Oct 13 20:17:25 2023	1697253445	1	1277	1278	717
Fri Oct 13 20:17:25 2023	1697253445	1	1278	1278	623
Fri Oct 13 20:17:35 2023	1697253455	1	1279	1281	1005
Fri Oct 13 20:17:30 2023	1697253450	0	1281	1281	745
Fri Oct 13 20:17:28 2023	1697253448	2	1280	1282	838
Fri Oct 13 20:17:26 2023	1697253446	1	1283	1283	1086
Fri Oct 13 20:17:26 2023	1697253446	0	1283	1283	1067
Fri Oct 13 20:17:25 2023	1697253445	0	1284	1284	731
Fri Oct 13 20:17:26 2023	1697253446	0	1285	1285	1138
Fri Oct 13 20:17:25 2023	1697253445	1	1285	1285	707
Fri Oct 13 20:17:25 2023	1697253445	1	1286	1287	683
Fri Oct 13 20:17:26 2023	1697253446	0	1287	1287	1100
Fri Oct 13 20:17:30 2023	1697253450	0	1291	1291	726
Fri Oct 13 20:17:25 2023	1697253445	2	1294	1296	699
Fri Oct 13 20:17:30 2023	1697253450	1	1296	1296	721
Fri Oct 13 20:17:30 2023	1697253450	0	1298	1298	789
Fri Oct 13 20:17:30 2023	1697253450	0	1303	1303	862
Fri Oct 13 20:17:34 2023	1697253454	0	1312	1312	1076
Fri Oct 13 20:17:26 2023	1697253446	0	1312	1312	1100
Fri Oct 13 20:17:25 2023	1697253445	0	1315	1315	743
Fri Oct 13 20:17:30 2023	1697253450	0	1317	1317	751
Fri Oct 13 20:17:28 2023	1697253448	0	1319	1319	779
Fri Oct 13 20:17:25 2023	1697253445	1	1319	1320	712
Fri Oct 13 20:17:25 2023	1697253445	0	1322	1322	793
Fri Oct 13 20:17:26 2023	1697253446	0	1327	1327	1154
Fri Oct 13 20:17:30 2023	1697253450	0	1327	1327	743
Fri Oct 13 20:17:25 2023	1697253445	0	1331	1331	749
Fri Oct 13 20:17:30 2023	1697253450	2	1332	1333	748
Fri Oct 13 20:17:35 2023	1697253455	0	1335	1335	1101
Fri Oct 13 20:17:28 2023	1697253448	0	1335	1335	825
Fri Oct 13 20:17:30 2023	1697253450	0	1335	1335	761
Fri Oct 13 20:17:30 2023	1697253450	0	1337	1337	745
Fri Oct 13 20:17:30 2023	1697253450	1	1336	1337	496
Fri Oct 13 20:17:25 2023	1697253445	2	1335	1337	714
Fri Oct 13 20:17:34 2023	1697253454	0	1339	1339	1113
Fri Oct 13 20:17:26 2023	1697253446	0	1340	1340	1145
Fri Oct 13 20:17:25 2023	1697253445	0	1341	1341	731
Fri Oct 13 20:17:34 2023	1697253454	0	1346	1346	1080
Fri Oct 13 20:17:30 2023	1697253450	0	1353	1353	787
Fri Oct 13 20:17:30 2023	1697253450	1	1353	1354	680
Fri Oct 13 20:17:30 2023	1697253450	1	1355	1356	794
Fri Oct 13 20:17:30 2023	1697253450	1	1359	1360	826
Fri Oct 13 20:17:30 2023	1697253450	1	1361	1361	827
Fri Oct 13 20:17:30 2023	1697253450	0	1362	1362	781
Fri Oct 13 20:17:25 2023	1697253445	0	1362	1362	699
Fri Oct 13 20:17:28 2023	1697253448	1	1362	1362	824
Fri Oct 13 20:17:25 2023	1697253445	1	1365	1365	707
Fri Oct 13 20:17:25 2023	1697253445	0	1366	1366	799
Fri Oct 13 20:17:34 2023	1697253454	0	1367	1367	1124
Fri Oct 13 20:17:35 2023	1697253455	0	1370	1370	1152
Fri Oct 13 20:17:30 2023	1697253450	1	1372	1373	810
Fri Oct 13 20:17:25 2023	1697253445	1	1372	1373	777
Fri Oct 13 20:17:25 2023	1697253445	1	1374	1374	800
Fri Oct 13 20:17:28 2023	1697253448	0	1376	1376	987
Fri Oct 13 20:17:25 2023	1697253445	0	1379	1379	791
Fri Oct 13 20:17:35 2023	1697253455	0	1380	1380	1232
